framework,path,id,creationDate,ownerUserId,postTypeId,acceptedAnswerId
spring-guides,gs-rest-service,20168563,2013-11-23T22:15:02.547,,,
spring-guides,gs-rest-service,22935840,2014-04-08T11:37:56.967,,,
spring-guides,gs-rest-service,23023732,2014-04-11T22:39:01.690,,,
spring-guides,gs-rest-service,25262377,2014-08-12T10:47:43.893,,,
spring-guides,gs-rest-service,26177428,2014-10-03T10:37:04.390,,,
spring-guides,gs-rest-service,31802807,2015-08-04T07:08:14.393,,,
spring-guides,gs-rest-service,35900612,2016-03-09T19:15:12.497,,,
spring-guides,gs-rest-service,36433556,2016-04-05T17:52:21.943,,,
spring-guides,gs-rest-service,37042106,2016-05-05T04:00:34.040,,,
spring-guides,gs-rest-service,38614998,2016-07-27T13:54:40.607,,,
spring-guides,gs-rest-service,39233986,2016-08-30T17:48:28.033,,,
spring-guides,gs-rest-service,39457826,2016-09-12T19:54:52.723,,,
spring-guides,gs-rest-service,39645590,2016-09-22T17:43:46.590,,,
spring-guides,gs-rest-service,41558424,2017-01-09T23:00:55.887,,,
spring-guides,gs-rest-service,46144001,2017-09-10T18:13:53.843,,,
spring-guides,gs-rest-service,50751696,2018-06-08T00:08:07.653,,,
spring-guides,gs-rest-service,55876509,2019-04-27T01:26:32.813,,,
spring-guides,gs-rest-service,66460823,2021-03-03T16:12:25.273,,,
spring-guides,gs-rest-service,69362466,2021-09-28T13:16:09.643,,,
spring-guides,gs-rest-service,70422342,2021-12-20T13:11:31.747,,,
spring-guides,gs-rest-service,73549112,2022-08-30T22:36:13.303,,,
spring-guides,gs-rest-service,73905381,2022-09-30T07:30:50.843,,,
googlesamples,android-custom-lint-rules,47035717,2017-10-31T12:42:03.057,,,
googlesamples,android-custom-lint-rules,55924775,2019-04-30T15:59:36.330,,,
googlesamples,android-custom-lint-rules,56530119,2019-06-10T16:26:55.640,,,
googlesamples,android-custom-lint-rules,59071546,2019-11-27T13:40:25.987,,,
googlesamples,android-custom-lint-rules,70357066,2021-12-15T00:16:05.710,,,
spring-guides,gs-spring-boot,25571843,2014-08-29T15:51:55.370,,,
spring-guides,gs-spring-boot,31599052,2015-07-23T22:20:02.147,,,
spring-guides,gs-spring-boot,40585031,2016-11-14T09:02:52.193,,,
spring-guides,gs-spring-boot,46732371,2017-10-13T14:36:02.720,,,
spring-guides,gs-spring-boot,47197605,2017-11-09T08:57:49.710,,,
spring-guides,gs-spring-boot,51004033,2018-06-23T18:33:52.617,,,
spring-guides,gs-spring-boot,53688433,2018-12-09T00:46:59.503,,,
spring-guides,gs-spring-boot,53816713,2018-12-17T13:56:12.600,,,
spring-guides,gs-spring-boot,54584056,2019-02-07T23:43:51.807,,,
spring-guides,gs-spring-boot,56612726,2019-06-15T17:40:46.270,,,
spring-guides,gs-spring-boot,60142787,2020-02-10T00:47:25.550,,,
spring-guides,gs-spring-boot,60534440,2020-03-04T20:46:36.257,,,
spring-guides,gs-spring-boot,61178105,2020-04-12T21:00:33.943,,,
spring-guides,gs-spring-boot,61991948,2020-05-24T20:18:11.097,,,
spring-guides,gs-spring-boot,63103107,2020-07-26T16:55:30.943,,,
spring-guides,gs-spring-boot,63493379,2020-08-19T19:00:26.063,,,
spring-guides,gs-spring-boot,72010791,2022-04-26T08:33:14.863,,,
spring-guides,gs-spring-boot,75654120,2023-03-06T17:43:41.133,,,
spring-guides,gs-spring-boot,77010283,2023-08-30T17:27:44.437,,,
aws-samples,simple-websockets-chat-app,54761176,2019-02-19T07:54:05.007,,,
aws-samples,simple-websockets-chat-app,58323242,2019-10-10T12:46:28.837,,,
aws-samples,simple-websockets-chat-app,58750463,2019-11-07T14:04:47.247,,,
aws-samples,simple-websockets-chat-app,63712213,2020-09-02T19:16:24.807,,,
aws-samples,simple-websockets-chat-app,67713268,2021-05-26T22:04:34.203,,,
aws-samples,simple-websockets-chat-app,73113237,2022-07-25T17:34:45.370,,,
spring-guides,gs-spring-boot-docker,53688433,2018-12-09T00:46:59.503,,,
spring-guides,gs-spring-boot-docker,56612726,2019-06-15T17:40:46.270,,,
spring-guides,gs-spring-boot-docker,63493379,2020-08-19T19:00:26.063,,,
aws-samples,aws-serverless-workshop-innovator-island,62847986,2020-07-11T10:30:52.170,,,
spring-guides,gs-messaging-stomp-websocket,21305874,2014-01-23T10:45:45.667,,,
spring-guides,gs-messaging-stomp-websocket,32362033,2015-09-02T19:59:10.913,,,
spring-guides,gs-messaging-stomp-websocket,43402235,2017-04-13T21:46:04.363,,,
spring-guides,gs-messaging-stomp-websocket,47239476,2017-11-11T15:20:55.807,,,
spring-guides,gs-messaging-stomp-websocket,58775792,2019-11-09T02:04:45.203,,,
spring-guides,gs-messaging-stomp-websocket,59470938,2019-12-24T15:40:50.337,,,
spring-guides,gs-messaging-stomp-websocket,76955710,2023-08-22T17:44:57.130,,,
spring-guides,tut-rest,24539899,2014-07-02T19:54:36.657,,,
spring-guides,tut-rest,24975402,2014-07-26T20:46:49.960,,,
spring-guides,tut-rest,25984847,2014-09-22T23:58:49.220,,,
spring-guides,tut-rest,59393792,2019-12-18T14:07:14.030,,,
spring-guides,tut-rest,68819181,2021-08-17T14:27:19.133,,,
spring-guides,gs-uploading-files,27643278,2014-12-25T00:19:02.243,,,
spring-guides,gs-uploading-files,29831953,2015-04-23T18:50:19.547,,,
spring-guides,gs-uploading-files,40355743,2016-11-01T07:26:46.880,,,
spring-guides,gs-uploading-files,50520714,2018-05-25T02:38:37.537,,,
aws-samples,amazon-cloudfront-functions,73652051,2022-09-08T16:01:27.653,,,
aws-samples,amazon-cloudfront-secure-static-site,70582655,2022-01-04T17:17:35.327,,,
spring-guides,gs-securing-web,34606760,2016-01-05T08:01:04.453,,,
spring-guides,gs-securing-web,45111521,2017-07-14T20:59:06.940,,,
spring-guides,gs-multi-module,59420422,2019-12-20T05:49:21.073,,,
spring-guides,gs-multi-module,77805795,2024-01-12T10:10:12.270,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,54278212,2019-01-20T15:55:51.200,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,55260625,2019-03-20T12:18:27.163,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,55290906,2019-03-21T23:54:04.757,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,56004750,2019-05-06T11:57:46.650,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,56380683,2019-05-30T14:54:04.147,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,57324436,2019-08-02T10:15:45.090,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,58314259,2019-10-10T01:33:56.210,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,61387109,2020-04-23T12:21:56.237,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,62361167,2020-06-13T14:30:19.007,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,63882343,2020-09-14T10:16:22.553,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,64193349,2020-10-04T10:10:14.103,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,64456324,2020-10-21T03:37:20.383,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,64973334,2020-11-23T17:30:31.050,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,65248949,2020-12-11T09:42:50.543,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,66304994,2021-02-21T17:20:20.430,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,71432868,2022-03-11T02:04:38.497,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,72929574,2022-07-10T15:17:47.953,,,
Azure-Samples,active-directory-dotnet-native-aspnetcore-v2,77381760,2023-10-29T01:44:40.733,,,
spring-guides,gs-serving-web-content,24025004,2014-06-03T21:12:20.123,,,
spring-guides,gs-serving-web-content,27105619,2014-11-24T13:08:11.033,,,
spring-guides,gs-serving-web-content,34466221,2015-12-25T20:34:51.743,,,
spring-guides,gs-serving-web-content,39794779,2016-09-30T15:13:20.127,,,
spring-guides,gs-serving-web-content,43180582,2017-04-03T09:06:22.207,,,
spring-guides,gs-serving-web-content,46410252,2017-09-25T16:47:53.483,,,
spring-guides,gs-batch-processing,29391319,2015-04-01T12:51:12.963,,,
spring-guides,gs-batch-processing,41731264,2017-01-18T23:25:00.990,,,
spring-guides,gs-batch-processing,46178105,2017-09-12T13:45:04.977,,,
spring-guides,gs-batch-processing,48683209,2018-02-08T10:27:30.767,,,
spring-guides,gs-batch-processing,51738718,2018-08-08T04:39:09.017,,,
spring-guides,gs-batch-processing,58452256,2019-10-18T13:50:45.100,,,
spring-guides,gs-batch-processing,64812386,2020-11-12T21:57:10.480,,,
spring-guides,gs-batch-processing,76047708,2023-04-18T17:54:46.693,,,
spring-guides,gs-batch-processing,76475987,2023-06-14T17:05:05.567,,,
spring-cloud-samples,feign-eureka,40818746,2016-11-26T13:20:36.313,,,
spring-cloud-samples,feign-eureka,66155318,2021-02-11T13:02:08.773,,,
spring-guides,gs-accessing-data-jpa,20101448,2013-11-20T16:29:30.890,,,
spring-guides,gs-accessing-data-jpa,23366226,2014-04-29T13:34:32.197,,,
spring-guides,gs-accessing-data-jpa,23568707,2014-05-09T15:40:11.803,,,
spring-guides,gs-accessing-data-jpa,27987068,2015-01-16T15:16:15.483,,,
spring-guides,gs-accessing-data-jpa,43431802,2017-04-15T22:15:39.597,,,
spring-guides,gs-accessing-data-jpa,46162061,2017-09-11T18:20:41.147,,,
spring-guides,gs-accessing-data-jpa,59793788,2020-01-17T19:33:01.870,,,
spring-guides,gs-accessing-data-jpa,66030788,2021-02-03T15:39:43.510,,,
spring-guides,gs-accessing-data-jpa,75237933,2023-01-25T17:52:56.480,,,
spring-guides,gs-consuming-rest,31408529,2015-07-14T13:47:24.150,,,
spring-guides,gs-consuming-rest,32366320,2015-09-03T03:09:55.340,,,
spring-guides,gs-consuming-rest,34606760,2016-01-05T08:01:04.453,,,
spring-guides,gs-consuming-rest,75701275,2023-03-10T21:46:28.237,,,
spring-guides,gs-accessing-data-mysql,66567072,2021-03-10T14:45:38.110,,,
spring-guides,gs-accessing-data-mysql,76113643,2023-04-26T17:43:36.637,,,
spring-guides,gs-accessing-data-mysql,76181954,2023-05-05T11:58:47.473,,,
spring-guides,gs-messaging-rabbitmq,61153705,2020-04-11T07:59:09.487,,,
spring-guides,gs-reactive-rest-service,69308017,2021-09-23T23:46:21.913,,,
Azure-Samples,cognitive-services-python-sdk-samples,55099306,2019-03-11T09:59:10.553,,,
Azure-Samples,azure-samples-python-management,76023998,2023-04-15T18:19:15.870,,,
Azure-Samples,azure-samples-python-management,77215726,2023-10-02T12:56:13.743,,,
spring-guides,gs-producing-web-service,34525587,2015-12-30T08:21:10.430,,,
spring-guides,gs-accessing-data-rest,29299181,2015-03-27T11:02:30.490,,,
spring-guides,gs-accessing-data-rest,39158292,2016-08-26T04:26:58.273,,,
spring-guides,gs-accessing-data-rest,40261302,2016-10-26T11:37:25.647,,,
spring-guides,gs-accessing-data-rest,42691485,2017-03-09T09:27:54.347,,,
spring-guides,gs-service-registration-and-discovery,45993586,2017-09-01T05:06:43.790,,,
spring-guides,gs-service-registration-and-discovery,57473012,2019-08-13T07:26:20.883,,,
Azure-Samples,active-directory-b2c-javascript-nodejs-webapi,45286400,2017-07-24T17:14:28.790,,,
Azure-Samples,active-directory-b2c-javascript-nodejs-webapi,56411863,2019-06-02T02:46:01.297,,,
Azure-Samples,active-directory-b2c-javascript-nodejs-webapi,63784155,2020-09-07T20:56:52.617,,,
aws-samples,amazon-sagemaker-mlflow-fargate,76863814,2023-08-09T00:07:48.600,,,
aws-samples,amazon-sagemaker-mlflow-fargate,77035502,2023-09-04T06:29:32.410,,,
spring-guides,gs-accessing-data-mongodb,35584271,2016-02-23T17:30:51.603,,,
spring-guides,gs-accessing-data-mongodb,51460884,2018-07-21T23:34:47.100,,,
spring-guides,gs-accessing-data-mongodb,55564608,2019-04-07T23:40:05.240,,,
spring-guides,gs-consuming-web-service,47867118,2017-12-18T11:04:00.803,,,
spring-guides,gs-consuming-web-service,48133943,2018-01-07T02:55:22.290,,,
Azure-Samples,ms-identity-aspnet-daemon-webapp,63998025,2020-09-21T18:29:20.493,,,
Azure-Samples,ms-identity-aspnet-daemon-webapp,64685511,2020-11-04T18:11:19.293,,,
spring-guides,gs-scheduling-tasks,35195982,2016-02-04T08:28:51.917,,,
spring-guides,gs-scheduling-tasks,48772458,2018-02-13T17:30:55.580,,,
spring-guides,gs-scheduling-tasks,70059968,2021-11-22T01:15:39.083,,,
spring-guides,gs-validating-form-input,58930090,2019-11-19T08:58:32.317,,,
aws-samples,aws-marketplace-serverless-saas-integration,70565625,2022-01-03T12:13:26.680,,,
Azure-Samples,durablefunctions-apiscraping-dotnet,59289137,2019-12-11T15:30:40.137,,,
spring-guides,gs-rest-service-cors,31802807,2015-08-04T07:08:14.393,,,
spring-guides,gs-rest-service-cors,39645590,2016-09-22T17:43:46.590,,,
Azure-Samples,active-directory-b2c-xamarin-native,37792244,2016-06-13T14:23:57.030,,,
Azure-Samples,active-directory-b2c-xamarin-native,38973156,2016-08-16T11:00:12.463,,,
Azure-Samples,active-directory-b2c-xamarin-native,39112939,2016-08-24T01:10:26.123,,,
Azure-Samples,active-directory-b2c-xamarin-native,43295797,2017-04-08T15:15:59.460,,,
Azure-Samples,active-directory-b2c-xamarin-native,43931048,2017-05-12T06:47:36.250,,,
Azure-Samples,active-directory-b2c-xamarin-native,44211449,2017-05-26T23:36:13.323,,,
Azure-Samples,active-directory-b2c-xamarin-native,44486836,2017-06-11T17:43:23.243,,,
Azure-Samples,active-directory-b2c-xamarin-native,44780699,2017-06-27T12:47:30.693,,,
Azure-Samples,active-directory-b2c-xamarin-native,45271062,2017-07-24T00:19:51.500,,,
Azure-Samples,active-directory-b2c-xamarin-native,45269252,2017-07-23T19:44:42.253,,,
Azure-Samples,active-directory-b2c-xamarin-native,45382197,2017-07-28T20:49:54.383,,,
Azure-Samples,active-directory-b2c-xamarin-native,47989979,2017-12-27T09:56:03.747,,,
Azure-Samples,active-directory-b2c-xamarin-native,50059571,2018-04-27T09:39:48.860,,,
Azure-Samples,active-directory-b2c-xamarin-native,50170927,2018-05-04T08:52:30.207,,,
Azure-Samples,active-directory-b2c-xamarin-native,50990708,2018-06-22T14:59:09.353,,,
Azure-Samples,active-directory-b2c-xamarin-native,51106130,2018-06-29T16:37:54.467,,,
Azure-Samples,active-directory-b2c-xamarin-native,52675466,2018-10-06T03:29:39.600,,,
Azure-Samples,active-directory-b2c-xamarin-native,52877349,2018-10-18T15:19:48.317,,,
Azure-Samples,active-directory-b2c-xamarin-native,53084546,2018-10-31T13:29:24.337,,,
Azure-Samples,active-directory-b2c-xamarin-native,53175914,2018-11-06T16:23:12.243,,,
Azure-Samples,active-directory-b2c-xamarin-native,53779453,2018-12-14T12:06:54.210,,,
Azure-Samples,active-directory-b2c-xamarin-native,54363059,2019-01-25T10:09:09.650,,,
Azure-Samples,active-directory-b2c-xamarin-native,59002167,2019-11-22T21:46:55.897,,,
Azure-Samples,active-directory-b2c-xamarin-native,59777863,2020-01-16T21:12:44.380,,,
Azure-Samples,active-directory-b2c-xamarin-native,62644811,2020-06-29T18:48:26.123,,,
Azure-Samples,active-directory-b2c-xamarin-native,63517717,2020-08-21T06:40:16.160,,,
Azure-Samples,active-directory-b2c-xamarin-native,64794659,2020-11-11T21:49:47.840,,,
Azure-Samples,active-directory-b2c-xamarin-native,65073518,2020-11-30T12:22:39.223,,,
Azure-Samples,active-directory-b2c-xamarin-native,66057493,2021-02-05T04:14:53.967,,,
Azure-Samples,active-directory-b2c-xamarin-native,66149179,2021-02-11T05:22:26.583,,,
Azure-Samples,active-directory-b2c-xamarin-native,66348245,2021-02-24T09:40:50.080,,,
Azure-Samples,search-dotnet-getting-started,38894880,2016-08-11T11:16:39.470,,,
Azure-Samples,search-dotnet-getting-started,44860041,2017-07-01T10:45:29.450,,,
Azure-Samples,search-dotnet-getting-started,52893774,2018-10-19T13:53:01.323,,,
Azure-Samples,search-dotnet-getting-started,54484448,2019-02-01T17:34:47.440,,,
Azure-Samples,search-dotnet-getting-started,57160506,2019-07-23T09:04:49.207,,,
spring-guides,gs-gateway,63482951,2020-08-19T08:27:35.587,,,
spring-guides,gs-gateway,69313037,2021-09-24T09:53:37.080,,,
spring-guides,gs-crud-with-vaadin,48447476,2018-01-25T16:18:56.660,,,
aws-samples,aws-cognito-java-desktop-app,51162584,2018-07-03T20:43:27.213,,,
aws-samples,aws-cognito-java-desktop-app,56637042,2019-06-17T18:36:44.990,,,
aws-samples,aws-cognito-java-desktop-app,56813312,2019-06-28T21:23:06.187,,,
aws-samples,aws-cognito-java-desktop-app,57658757,2019-08-26T13:20:48.383,,,
spring-guides,gs-authenticating-ldap,75178129,2023-01-19T20:48:05.497,,,
spring-guides,gs-messaging-jms,33835436,2015-11-20T20:20:22.680,,,
spring-guides,gs-messaging-jms,43458500,2017-04-17T19:46:11.157,,,
spring-guides,gs-messaging-jms,51222160,2018-07-07T10:16:06.030,,,
spring-guides,gs-messaging-jms,76517707,2023-06-20T18:58:36.357,,,
aws-samples,spark-on-aws-lambda,78159638,2024-03-14T10:03:36.213,,,
spring-guides,gs-async-method,41092751,2016-12-12T00:37:03.077,,,
aws-samples,amazon-ivs-player-web-sample,66109898,2021-02-08T21:51:25.283,,,
Azure-Samples,active-directory-dotnetcore-console-up-v2,53883384,2018-12-21T10:44:51.363,,,
Azure-Samples,active-directory-dotnetcore-console-up-v2,54469600,2019-01-31T21:36:18.100,,,
spring-guides,gs-actuator-service,51348352,2018-07-15T12:24:40.620,,,
Azure-Samples,active-directory-b2c-dotnet-desktop,62275609,2020-06-09T05:26:13.090,,,
Azure-Samples,active-directory-b2c-dotnet-desktop,71058453,2022-02-10T00:31:38.490,,,
Azure-Samples,active-directory-b2c-dotnet-desktop,71247467,2022-02-24T05:20:50.357,,,
Azure-Samples,active-directory-b2c-dotnet-desktop,73742036,2022-09-16T08:30:32.163,,,
spring-guides,gs-rest-hateoas,36478625,2016-04-07T14:04:51.727,,,
spring-guides,gs-accessing-mongodb-data-rest,28498834,2015-02-13T11:43:26.877,,,
Azure-Samples,Orleans-Cluster-on-Azure-App-Service,73158128,2022-07-28T19:15:27.530,,,
spring-guides,gs-centralized-configuration,70296313,2021-12-09T20:28:51.283,,,
spring-guides,gs-centralized-configuration,70650793,2022-01-10T10:17:27.987,,,
Azure-Samples,ms-identity-node,65559757,2021-01-04T08:36:54.627,,,
Azure-Samples,ms-identity-node,74456890,2022-11-16T07:53:29.777,,,
Azure-Samples,ms-identity-node,76034497,2023-04-17T11:08:30.000,,,
Azure-Samples,key-vault-dotnet-manage-key-vaults,66711942,2021-03-19T16:24:21.000,,,
aws-samples,pyflink-getting-started,76000492,2023-04-12T23:11:56.297,,,
aws-samples,pyflink-getting-started,76105340,2023-04-25T20:50:50.750,,,
aws-samples,pyflink-getting-started,76656962,2023-07-10T20:00:10.673,,,
aws-samples,pyflink-getting-started,78155683,2024-03-13T17:15:25.117,,,
Azure-Samples,azure-cosmos-db-python-getting-started,57051800,2019-07-16T07:08:30.003,,,
Azure-Samples,azure-cosmos-db-python-getting-started,61172609,2020-04-12T14:00:50.280,,,
Azure-Samples,azure-cosmos-db-python-getting-started,61641745,2020-05-06T17:45:26.753,,,
spring-guides,gs-handling-form-submission,42721597,2017-03-10T15:08:14.547,,,
Azure-Samples,ms-identity-android-kotlin,69030415,2021-09-02T12:35:00.203,,,
Azure-Samples,ms-identity-android-kotlin,75221794,2023-01-24T12:54:16.690,,,
aws-samples,aws-codepipeline-bitbucket-integration,71333721,2022-03-03T07:51:41.057,,,
Azure-Samples,msdocs-python-django-webapp-quickstart,78143245,2024-03-11T20:24:07.370,,,
spring-cloud-samples,sleuth-documentation-apps,50040432,2018-04-26T10:17:11.137,,,
spring-guides,gs-accessing-data-neo4j,54750194,2019-02-18T15:09:54.777,,,
spring-guides,gs-accessing-data-neo4j,76901420,2023-08-14T18:43:43.987,,,
Azure-Samples,ms-identity-android-java,61942108,2020-05-21T19:12:24.173,,,
Azure-Samples,ms-identity-android-java,64830367,2020-11-14T02:29:11.927,,,
Azure-Samples,ms-identity-android-java,64877203,2020-11-17T14:28:37.650,,,
Azure-Samples,ms-identity-android-java,66351743,2021-02-24T13:18:38.953,,,
Azure-Samples,ms-identity-android-java,66412121,2021-02-28T17:47:22.713,,,
Azure-Samples,ms-identity-android-java,67357179,2021-05-02T13:53:58.057,,,
Azure-Samples,ms-identity-android-java,69186580,2021-09-15T02:53:57.983,,,
Azure-Samples,ms-identity-android-java,70197511,2021-12-02T10:07:54.643,,,
aws-samples,aws-dataexchange-api-samples,64754672,2020-11-09T15:38:53.233,,,
Azure-Samples,ms-identity-docs-code-dotnet,76135671,2023-04-29T10:19:02.530,,,
spring-guides,gs-managing-transactions,46325194,2017-09-20T14:46:19.973,,,
Azure-Samples,communication-services-python-quickstarts,77797453,2024-01-11T03:05:13.187,,,
Azure-Samples,communication-services-python-quickstarts,77943649,2024-02-05T19:59:36.893,,,
Azure-Samples,active-directory-verifiable-credentials-node,72532268,2022-06-07T13:41:30.293,,,
Azure-Samples,digital-twins-iothub-integration,65212966,2020-12-09T08:16:24.810,,,
Azure-Samples,ms-identity-python-webapp-django,78225886,2024-03-26T13:59:20.760,,,
aws-samples,aws-codeguru-profiler-python-demo-application,77040024,2023-09-04T18:50:16.570,,,
spring-guides,gs-accessing-neo4j-data-rest,22600920,2014-03-24T04:09:14.323,,,
Azure-Samples,MipSDK-File-Java-Basic,73773112,2022-09-19T12:06:50.670,,,
Azure-Samples,MipSDK-File-Java-Basic,75280876,2023-01-30T06:28:26.207,,,
Azure-Samples,app-service-dotnet-manage-storage-connections-for-web-apps,62837607,2020-07-10T15:31:04.860,,,
Azure-Samples,ApplicationInsights-Java-Samples,77925827,2024-02-02T09:12:29.020,,,
Azure-Samples,compute-dotnet-manage-vm-async,65185095,2020-12-07T16:00:14.313,,,
